tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,tweet_length,cleaned_tweet
@mention heard rumors Google Circles was supposed to have a preview at #SXSW,,No emotion toward brand or product,76,heard rumors google circles was supposed to have a preview at sxsw
"@mention heard that apple's going to open a special store, they're expecting a lot of customers from #sxsw",Apple,Positive emotion,106,heard that apples going to open a special store theyre expecting a lot of customers from sxsw
"@mention Heard youÛªre at #sxsw, what do you think abt making an iPhone case of your kids? Your blog? Stop by, weÛªre at the @mention grille",,No emotion toward brand or product,142,heard youre at sxsw what do you think abt making an iphone case of your kids your blog stop by were at the grille
Able to check into @mention using @mention while 4sq iPhone app is down #SXSW,,No emotion toward brand or product,77,able to check into using while 4sq iphone app is down sxsw
@mention helaas... &quot;@mention Google is NOT launching any products at  #SXSW {link},,No emotion toward brand or product,87,helaas quot google is not launching any products at sxsw link
"@mention hello! Enjoy #Sxsw and ride anywhere in Austin for $10 . download the #GroundLink app, {link} booth 437",,No emotion toward brand or product,112,hello enjoy sxsw and ride anywhere in austin for 10 download the groundlink app link booth 437
"Me love them long time... Catherine &amp; Lori, the girls who found my lost iPhone at the #sxsw info desk #ftw {link}",,No emotion toward brand or product,117,me love them long time catherine amp lori the girls who found my lost iphone at the sxsw info desk ftw link
I am neither at #SXSW nor buying an iPad 2 today. I feel like my geek cred is basically gone.,iPad,I can't tell,93,i am neither at sxsw nor buying an ipad 2 today i feel like my geek cred is basically gone
Kara Swisher: Apple is the most stylish fascist company in America #sxsw,Apple,Negative emotion,72,kara swisher apple is the most stylish fascist company in america sxsw
Does anywhere at #SXSW have iPhone chargers I can use for a bit??,,No emotion toward brand or product,65,does anywhere at sxsw have iphone chargers i can use for a bit
@mention here's your personal guide to austin for #sxsw {link},,No emotion toward brand or product,62,heres your personal guide to austin for sxsw link
"@mention Hey Eric, it was at a pop-up Apple store here at #SXSW -- nice long line of tech-savvy folks ready to spend hard-earned $",Apple,Positive emotion,130,hey eric it was at a popup apple store here at sxsw nice long line of techsavvy folks ready to spend hardearned
@mention Hey Jen what do you hear about Google Circles at #SXSW?,,No emotion toward brand or product,64,hey jen what do you hear about google circles at sxsw
"@mention Hey Mark, no sleep for you at #sxsw! Bring me home a shiny new iPad, would ya? :) @mention",iPad,Positive emotion,99,hey mark no sleep for you at sxsw bring me home a shiny new ipad would ya
"@mention Hey Taariq, howdy from Texas, fav #sXsw app so far is the official one {link} &lt;--android-or get Iphone #UsGuys",Android App,Positive emotion,122,hey taariq howdy from texas fav sxsw app so far is the official one link ltandroidor get iphone usguys
"@mention hey, I'm in that line! #sxsw #apple",,No emotion toward brand or product,44,hey im in that line sxsw apple
"@mention hey, you are at #sxsw - if life gives you food poisoning, pitch a food poisoning iPhone app to a passing venture capitalist",,No emotion toward brand or product,132,hey you are at sxsw if life gives you food poisoning pitch a food poisoning iphone app to a passing venture capitalist
@mention Hey! Come by the Fast Company Grille if you're hungry! Mention #zazzlesxsw and get a customizable iPhone case too! #sxsw,,No emotion toward brand or product,129,hey come by the fast company grille if youre hungry mention zazzlesxsw and get a customizable iphone case too sxsw
@mention Hey! Y'all have anyway to get text updates?? I don't have a cool pocket google machine phone #sxsw,Google,Positive emotion,107,hey yall have anyway to get text updates i dont have a cool pocket google machine phone sxsw
@mention Hi Josh. Do yo have an iPhone. Do you have Beluga? Do you get text for DMs? :D #sxsw #sxswi contact plans,,No emotion toward brand or product,114,hi josh do yo have an iphone do you have beluga do you get text for dms d sxsw sxswi contact plans
"12:30pm, Hilton 615AB, at #sxsw: RT @mention Who is going to the Android Developers Meetup? I'm looking forward to meeting @mention",,No emotion toward brand or product,131,1230pm hilton 615ab at sxsw rt who is going to the android developers meetup im looking forward to meeting
What's behind #Android's race to No. 1? {link} #smartphones #technology #mobile #sxsw #sxswi,Android,Positive emotion,92,whats behind androids race to no 1 link smartphones technology mobile sxsw sxswi
"GENIUS behind Google Circles.
¡á¾_Î¾Ð¡_____ÔÈÏ_ãöÝÇÜ¼¼
Real Life Social Graph Network v2 
View documents by Paul Adams {link}",Other Google product or service,Positive emotion,134,genius behind google circles real life social graph network v2 view documents by paul adams link
not launching today. dev w @mention input rt @mention Google to Launch Major New Social Network - Circles {link} #sxsw,,No emotion toward brand or product,118,not launching today dev w input rt google to launch major new social network circles link sxsw
#Sxsw fashion essential #13:  photo on iPhone with @mention @mention or @mention,,No emotion toward brand or product,80,sxsw fashion essential 13 photo on iphone with or
"#sxsw fashion essential #2:  iPad plus 2 mobile phones for chronicling witty tweets, unlocking Mayor badges, taking photos of Hootsuite owl",iPad,Positive emotion,139,sxsw fashion essential 2 ipad plus 2 mobile phones for chronicling witty tweets unlocking mayor badges taking photos of hootsuite owl
I found this 'Emily White: On #SXSW' in the Music Business 101 iPhone App {link},,No emotion toward brand or product,80,i found this emily white on sxsw in the music business 101 iphone app link
Conan to his Asst: 'Lots of hipsters here..She's looking for a man w/ a fedora and an Ipad 2' lol! #SXSW,,No emotion toward brand or product,104,conan to his asst lots of hipsters hereshes looking for a man w a fedora and an ipad 2 lol sxsw
"it holds his iPhone, which he uses for changing visuals RT @mention #GoogleDoodle #sxsw fun panel.  Intrigued by Marcin's powerglove?",,No emotion toward brand or product,133,it holds his iphone which he uses for changing visuals rt googledoodle sxsw fun panel intrigued by marcins powerglove
Imagine this is only sight ok during #SXSW... RT @mention Homeless guy panhandling for an iPad 2 america is fucked  {link},,No emotion toward brand or product,122,imagine this is only sight ok during sxsw rt homeless guy panhandling for an ipad 2 america is fucked link
Waiting this line has been awesome because of the South African Contingent.  #sxswsa #SXSW #Apple {link},,No emotion toward brand or product,104,waiting this line has been awesome because of the south african contingent sxswsa sxsw apple link
I threw this together to keep on my iPad to attempt to keep up with all the after hours stuff this weekend. #sxsw  {link},iPad,Positive emotion,121,i threw this together to keep on my ipad to attempt to keep up with all the after hours stuff this weekend sxsw link
"Apple's white earbuds - good symbol of our need for social proof, when the iPod launched, we all knew who had a new toy #guykawasaki #SXSW",Apple,Positive emotion,138,apples white earbuds good symbol of our need for social proof when the ipod launched we all knew who had a new toy guykawasaki sxsw
EightBit Hits The Street Running With HTML5 Power; SXSW Just Got A Lot More Fun {link} #iPhone #NES #SXSW #TheStreet,,No emotion toward brand or product,116,eightbit hits the street running with html5 power sxsw just got a lot more fun link iphone nes sxsw thestreet
@mention Hmmm... thinking about borrowing an iPad from work for taking notes at #SXSW. Works well enough that I don't have to lug the MBP?,,No emotion toward brand or product,138,hmmm thinking about borrowing an ipad from work for taking notes at sxsw works well enough that i dont have to lug the mbp
@mention Hmmmm {link} #SXSW #Apple,,No emotion toward brand or product,34,hmmmm link sxsw apple
"Well, Cashmore just gave the new iPad a crushing non-endorsement. #sxsw #checkins #ouch",iPad,Negative emotion,87,well cashmore just gave the new ipad a crushing nonendorsement sxsw checkins ouch
"Cue the choir music #SXSW  @mention Apple Store, SXSW {link}",,No emotion toward brand or product,60,cue the choir music sxsw apple store sxsw link
these #iphone #android apps will keep you grooving at #SXSW {link},iPad or iPhone App,Positive emotion,66,these iphone android apps will keep you grooving at sxsw link
"RIP my iPhone 4: June 2010 -  #SXSW. You survived a severe drop, but could not evade drowning. {link}",iPhone,Negative emotion,101,rip my iphone 4 june 2010 sxsw you survived a severe drop but could not evade drowning link
"95% of iPhone and Droid apps have less than 1,000 downloads total. #SXSW",Android App,Negative emotion,72,95 of iphone and droid apps have less than 1000 downloads total sxsw
funny! iphone correction? RT @mention Dashing off to learn a thing or two about longhorn journalism #SXSW,,I can't tell,105,funny iphone correction rt dashing off to learn a thing or two about longhorn journalism sxsw
At the iPhone dev meetup #SXSW,,No emotion toward brand or product,30,at the iphone dev meetup sxsw
#SXSWi iPhone gone. Yellow cab minivan 350 if anyone at #SXSW happens to get in a yellow minivan cab.,,No emotion toward brand or product,101,sxswi iphone gone yellow cab minivan 350 if anyone at sxsw happens to get in a yellow minivan cab
Got an iPhone or Android app? Come see me at the Microsoft booth and I'll give you a token for free entry into our marketplace. ($99) #sxsw,,No emotion toward brand or product,139,got an iphone or android app come see me at the microsoft booth and ill give you a token for free entry into our marketplace 99 sxsw
Got an iPhone or Android app? Im in  back of the Phone Gap session.  Show me your app and get into the Windows Phone marketplace free. #sxsw,,No emotion toward brand or product,140,got an iphone or android app im in back of the phone gap session show me your app and get into the windows phone marketplace free sxsw
"Saw my iPhone switch to the Edge network at badge pickup. #att, you ready for #sxsw?",,No emotion toward brand or product,84,saw my iphone switch to the edge network at badge pickup att you ready for sxsw
Apple ehPhone. Now available. Only in Canada. #SXSW #Apple #aPhone #Canada,,No emotion toward brand or product,74,apple ehphone now available only in canada sxsw apple aphone canada
I17: Symphony of Destruction {link} [codes valid: 8:00-11:59:59p 03/12/11] #infektd #sxsw #zomb,,No emotion toward brand or product,95,i17 symphony of destruction link codes valid 800115959p 031211 infektd sxsw zomb
@mention hope you can come to the ACLU &amp; Google #PartyLikeIts1986 on sunday at maggie mae's! #sxsw #sxswi,,No emotion toward brand or product,109,hope you can come to the aclu amp google partylikeits1986 on sunday at maggie maes sxsw sxswi
"For all those wanting to buy an #iPad2, a temporary #Apple store will open in Austin for #SXSW - {link}",,No emotion toward brand or product,103,for all those wanting to buy an ipad2 a temporary apple store will open in austin for sxsw link
At #tweethouse watching #ipad dj @mention rock out at #sxsw! Check out www.rana.co! #dotco,,No emotion toward brand or product,90,at tweethouse watching ipad dj rock out at sxsw check out dotco
"Geeks Without Bounds #sxsw #meetup Geeks Without Bounds Sun, March 13, 6pm ÛÒ 7pm
Meet @mention the Turnstone Bus {link}",,No emotion toward brand or product,121,geeks without bounds sxsw meetup geeks without bounds sun march 13 6pm 7pm meet the turnstone bus link
Why the shout-out to Ukraine? {link} @mention @mention HTML validation needed for ranking? {link}  #sxsw,,No emotion toward brand or product,104,why the shoutout to ukraine link html validation needed for ranking link sxsw
I wonder how #google Places and Hotpot will impact the usage of things like #Yelp. #MarissaGoogle #sxsw,,No emotion toward brand or product,103,i wonder how google places and hotpot will impact the usage of things like yelp marissagoogle sxsw
@mention How can any self-respecting Apple fanboy attend THE interactive event of the year without an #iPad2? #SXSWi #SXSW,iPad,Positive emotion,122,how can any selfrespecting apple fanboy attend the interactive event of the year without an ipad2 sxswi sxsw
#sxsw q: how does Google reconcile h264 omission from &lt;video&gt; but including Flash? #browserwars,,No emotion toward brand or product,101,sxsw q how does google reconcile h264 omission from ltvideogt but including flash browserwars
I wonder how many #iPad2's #Apple will sell at #SXSW. {link},,No emotion toward brand or product,60,i wonder how many ipad2s apple will sell at sxsw link
I wonder how many iPad 2's will be purchased in Austin this Friday?! #SXSW,,No emotion toward brand or product,74,i wonder how many ipad 2s will be purchased in austin this friday sxsw
I wonder how many people attending #SXSW will be at the Austin Apple store on FRI at 5 for the new iPad 2?,,No emotion toward brand or product,106,i wonder how many people attending sxsw will be at the austin apple store on fri at 5 for the new ipad 2
Learning how to get personalized recommendations using Google Hotpot {link} #sxsw,Other Google product or service,Positive emotion,81,learning how to get personalized recommendations using google hotpot link sxsw
@mention How was Fri dinner and are you enjoying #sxsw? Twitter is abuzz with possible news re: Google Circles launch that may happen there,,Positive emotion,139,how was fri dinner and are you enjoying sxsw twitter is abuzz with possible news re google circles launch that may happen there
#google shows super-fast Google Maps for mobile with 3D rendering. #sxsw,Other Google product or service,Positive emotion,72,google shows superfast google maps for mobile with 3d rendering sxsw
Walking through the trade show at #sxsw is basically swapping 10 business cards for chances to win 10 different iPad 2s.,,No emotion toward brand or product,120,walking through the trade show at sxsw is basically swapping 10 business cards for chances to win 10 different ipad 2s
The new Whrrl app is now live in the iPhone app store AND Android marketplace. Get it while it's hot! (Just in time for #SXSW!),iPad or iPhone App,Positive emotion,127,the new whrrl app is now live in the iphone app store and android marketplace get it while its hot just in time for sxsw
The new Whrrl app is now live in the iPhone app store AND Android marketplace. Get it while it's hot! (Just in time for #SXSW!) via @mention,iPad or iPhone App,Positive emotion,140,the new whrrl app is now live in the iphone app store and android marketplace get it while its hot just in time for sxsw via
Just bought a #mophie juice pack for my iPhone! Solely because the cool kids were doing it. @mention @mention #sxsw,Other Apple product or service,Positive emotion,115,just bought a mophie juice pack for my iphone solely because the cool kids were doing it sxsw
Just bought a mophie juice pack air rechargeable battery case for my iPhone - this would have come in handy this week #sxsw,,No emotion toward brand or product,123,just bought a mophie juice pack air rechargeable battery case for my iphone this would have come in handy this week sxsw
Just bought an #iPad2 at the downtown Austin Apple store. 5 min wait in line to get in. Salesperson Darryl was excellent. #sxsw,Apple,Positive emotion,127,just bought an ipad2 at the downtown austin apple store 5 min wait in line to get in salesperson darryl was excellent sxsw
So I bought an iPad on impulse! Must be something in the water at #sxsw!,iPad,Positive emotion,72,so i bought an ipad on impulse must be something in the water at sxsw
"Just bought iPad 2. In and out in 15 minutes #SXSW (@mention Apple Store, SXSW w/ 23 others) {link}",iPad,Positive emotion,99,just bought ipad 2 in and out in 15 minutes sxsw apple store sxsw w 23 others link
"Crap, might need to bring the AMEX now. RT @mention Apple to Open Pop-Up Shop at SXSW [REPORT] - {link} #sxsw",,No emotion toward brand or product,109,crap might need to bring the amex now rt apple to open popup shop at sxsw report link sxsw
apple might not be joining the nfc bandwagon:{link} RT @mention slides for my NFC/RFID talk at #sxsw {link},,No emotion toward brand or product,107,apple might not be joining the nfc bandwagonlink rt slides for my nfcrfid talk at sxsw link
Great night of Interactive parties. And Congress Ave is amazing with the Apple store! #sxsw #apple,Apple,Positive emotion,98,great night of interactive parties and congress ave is amazing with the apple store sxsw apple
Just bought one of the last few iPads at the Apple Store in downtown Austin at #SXSW. They sold out before I was done purchasing.,iPad,Positive emotion,129,just bought one of the last few ipads at the apple store in downtown austin at sxsw they sold out before i was done purchasing
Just bought the last iPad 2 3G 64MB at the Apple pop-up store at #SxSW {link},iPad,Positive emotion,77,just bought the last ipad 2 3g 64mb at the apple popup store at sxsw link
Any thoughts on the Path iphone photo app? #sxsw #iphoneography #mobilephotography,,No emotion toward brand or product,82,any thoughts on the path iphone photo app sxsw iphoneography mobilephotography
Passed a huge queue for iPad design for boomers on the way to what mobile apps can learn from comic books (also full). #SXSW,,Positive emotion,124,passed a huge queue for ipad design for boomers on the way to what mobile apps can learn from comic books also full sxsw
This is why social technology is amazing: Google has set up a Person Finder in both English and Japanese: {link} #SXSW,Google,Positive emotion,118,this is why social technology is amazing google has set up a person finder in both english and japanese link sxsw
"Diller: Why would you do product only for the iPad or any one form factor in today's multichannel, multi platform world? #SXSW #KetchSX",,I can't tell,135,diller why would you do product only for the ipad or any one form factor in todays multichannel multi platform world sxsw ketchsx
"@mention I agree ÛÓ Apple stole what little part of the show there was. For me, @mention was the most exciting new biz concept #sxsw",Apple,Positive emotion,133,i agree apple stole what little part of the show there was for me was the most exciting new biz concept sxsw
@mention I attended #beevil to hear criticism of Google or ways for us to improve. Even at #sxsw I'm on duty. Sounds like yr panel rocked,,No emotion toward brand or product,137,i attended beevil to hear criticism of google or ways for us to improve even at sxsw im on duty sounds like yr panel rocked
@mention I can't see you in this picture... RT @mention 10:30 AM line at Apple pop-up store in Austin. It opens at 5 PM. #sxsw {link},,No emotion toward brand or product,133,i cant see you in this picture rt 1030 am line at apple popup store in austin it opens at 5 pm sxsw link
@mention I did not know Lightbox was an android app until #SXSW #hhrs,,No emotion toward brand or product,69,i did not know lightbox was an android app until sxsw hhrs
@mention I didn't even know WTF #sxsw was till I google! Lol,,No emotion toward brand or product,60,i didnt even know wtf sxsw was till i google lol
@mention I fully expect to be &quot;iPad shamed&quot; by all the 2's at #SXSW,iPad,Positive emotion,77,i fully expect to be quotipad shamedquot by all the 2s at sxsw
Tomorrow I go back to the Apple store... *sigh* #sxsw,Apple,Negative emotion,53,tomorrow i go back to the apple store sigh sxsw
@mention I got that about impression #sxsw too. I plan to stand in a line for an iPad 2 on March 25th though :),iPad,Positive emotion,111,i got that about impression sxsw too i plan to stand in a line for an ipad 2 on march 25th though
"@mention I hate typing on an iPad. So, yeah, THE Ken Calhoun is this man, the real deal! And I am bringing my laptop to #sxsw Sun.",iPad,Negative emotion,130,i hate typing on an ipad so yeah the ken calhoun is this man the real deal and i am bringing my laptop to sxsw sun
@mention I have a feeling there will be many shiny new iPad 2s at #sxsw!,iPad,Positive emotion,72,i have a feeling there will be many shiny new ipad 2s at sxsw
@mention i heard the downtown location sold $1m in merchandise last night #sxsw #apple #ipad2,,No emotion toward brand or product,93,i heard the downtown location sold 1m in merchandise last night sxsw apple ipad2
@mention I heard you got the first IPad 2 at @mention #10.5hrs? #Austin #sxsw {link},,Positive emotion,84,i heard you got the first ipad 2 at 105hrs austin sxsw link
@mention I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,Negative emotion,85,i hope this years festival isnt as crashy as this years iphone app sxsw
"@mention I just mean the percentage of iOS vs Android vs Blackberry, etc. #SXSW / @mention",,No emotion toward brand or product,90,i just mean the percentage of ios vs android vs blackberry etc sxsw
"@mention i know this is a premature tweet, but i'd love to see pics of the apple pop up store at #sxsw :)",Apple,Positive emotion,105,i know this is a premature tweet but id love to see pics of the apple pop up store at sxsw
Mistakes I Made Building Netflix for the iPhone #netflixiphone @mention #sxsw,,No emotion toward brand or product,77,mistakes i made building netflix for the iphone netflixiphone sxsw
Mistakes I Made Building Netflix for the iPhone at SXSW. #SXSW #netflixiphone,,No emotion toward brand or product,77,mistakes i made building netflix for the iphone at sxsw sxsw netflixiphone
Mistakes I made building Netflix for the iPhone. #sxsw @mention The Hilton {link},,No emotion toward brand or product,81,mistakes i made building netflix for the iphone sxsw the hilton link
"@mention I meant iTunes doesn't work for me (IE: Don't run Apple software, even if it would run on my Ubuntu desktop).  Not just #SXSW dl",Other Apple product or service,Negative emotion,137,i meant itunes doesnt work for me ie dont run apple software even if it would run on my ubuntu desktop not just sxsw dl
@mention I outdid myself this time with the tech #FAIL. iPhone=broken. Might be the worst thing that can ever happen at #sxsw,iPhone,Negative emotion,125,i outdid myself this time with the tech fail iphonebroken might be the worst thing that can ever happen at sxsw
I38: Can I Play With Madness {link} [codes valid: 4:00-7:59:59p 03/14/11] #infektd #sxsw #zomb,,No emotion toward brand or product,94,i38 can i play with madness link codes valid 40075959p 031411 infektd sxsw zomb
Crowley: i really want a new iPad. Just haven't had time to get over there. #checkins #SXSW #KetchSX,iPad,Positive emotion,100,crowley i really want a new ipad just havent had time to get over there checkins sxsw ketchsx
@mention I saw that yesterday! Hoping that it won't b too crowded ;) #apple #ipad2 #sxsw,,No emotion toward brand or product,88,i saw that yesterday hoping that it wont b too crowded apple ipad2 sxsw
@mention I think I got it because I bought something at apple - and it assumes that I'm at the apple popup store at #sxsw,,No emotion toward brand or product,121,i think i got it because i bought something at apple and it assumes that im at the apple popup store at sxsw
@mention i think i might quit and resume tonight. ipad/iphone tethering couldn't have happened at a better time. #sxsw,iPhone,Positive emotion,118,i think i might quit and resume tonight ipadiphone tethering couldnt have happened at a better time sxsw
"@mention I think it's also that if I can't find an iPhone charger at #sxsw, I'm doing something very, very wrong.",,No emotion toward brand or product,113,i think its also that if i cant find an iphone charger at sxsw im doing something very very wrong
@mention I thought that was the point of having an iPad - carrying it around at #sxsw,,No emotion toward brand or product,85,i thought that was the point of having an ipad carrying it around at sxsw
"@mention I try to stay awake! :D I'm trying to get Ustream working on iPhone, see your badge/picture now is dat right? #kickoffparty  #sxsw",,No emotion toward brand or product,139,i try to stay awake d im trying to get ustream working on iphone see your badgepicture now is dat right kickoffparty sxsw
@mention I used to think that and then they started making great apps. Official #SXSW app on iPad blows the other versions (and site) away.,iPad or iPhone App,Positive emotion,139,i used to think that and then they started making great apps official sxsw app on ipad blows the other versions and site away
@mention I want that iPad case! #sxswbuffalo #sxsw,iPad,Positive emotion,50,i want that ipad case sxswbuffalo sxsw
@mention I was there ~5:30 and the line was around the block. Decided to forgo iPad 2 goodness for food. #sxsw #apple,iPad,Positive emotion,117,i was there 530 and the line was around the block decided to forgo ipad 2 goodness for food sxsw apple
@mention I wish we had our LiveBlog iPhone app &amp; #wordpress plugin ready for #SXSW. Not quite.,iPad or iPhone App,Positive emotion,98,i wish we had our liveblog iphone app amp wordpress plugin ready for sxsw not quite
@mention I would have been a #SXSW ambassador since I'm going to be everywhere but you only have iphone &amp; Android listed for mobile. :(,,No emotion toward brand or product,139,i would have been a sxsw ambassador since im going to be everywhere but you only have iphone amp android listed for mobile
@mention I would love to chk out #ie9 at #sxsw but @mention has no handsets and the 1 thats upcoming will not seduce me away from @mention,,No emotion toward brand or product,138,i would love to chk out ie9 at sxsw but has no handsets and the 1 thats upcoming will not seduce me away from
"Being anti-social IRL, typing this on my iPad, in the Social TV session. Filling up fast. But I am being social, right? #sxsw #ironic",,No emotion toward brand or product,133,being antisocial irl typing this on my ipad in the social tv session filling up fast but i am being social right sxsw ironic
@mention I'd have broken my thumbs or iPhone if I had tried to OH many more of @mention at #sxsw than I did,,No emotion toward brand or product,107,id have broken my thumbs or iphone if i had tried to oh many more of at sxsw than i did
@mention I'd say yes. Facebook and Google are implementing it which brightens the future. Good impact I'm search too. #sxsw,Google,Positive emotion,123,id say yes facebook and google are implementing it which brightens the future good impact im search too sxsw
"@mention I'm experimenting doing #SXSW with just a paper notebook, iPad and iPhone. No &quot;traditional&quot; laptop.",iPhone,No emotion toward brand or product,118,im experimenting doing sxsw with just a paper notebook ipad and iphone no quottraditionalquot laptop
@mention I'm glad I don't have an iPad 2 ... I think. #sxsw,iPad,Negative emotion,59,im glad i dont have an ipad 2 i think sxsw
@mention I'm going to #SXSW let's meet up! I can't use @mention yet because I have an Android phone but show me how it works!,,Negative emotion,125,im going to sxsw lets meet up i cant use yet because i have an android phone but show me how it works
I'm know I'm going to Austin tomorrow but my iPhone is definitely trying to convince me I'm going to Autism. #sxsw,,No emotion toward brand or product,114,im know im going to austin tomorrow but my iphone is definitely trying to convince me im going to autism sxsw
@mention I'm guessing there will not be an #Android app in time for #SXSW?,Android App,Negative emotion,74,im guessing there will not be an android app in time for sxsw
@mention I'm in the #touchingstories #iPad and/or #tablet #SXSW  workshop. Would LOVE to chat afteward!,,No emotion toward brand or product,103,im in the touchingstories ipad andor tablet sxsw workshop would love to chat afteward
"@mention I'm not going to #sxsw this year, not geeky enough. Instead @mention &amp; I are challenging each other in Boggle on the iPad",iPad or iPhone App,No emotion toward brand or product,134,im not going to sxsw this year not geeky enough instead amp i are challenging each other in boggle on the ipad
@mention I'm on the list for the Google LEH event but I'm not going to be at #SXSW. I'd be more upset if I didn't already have a Cr48.,,No emotion toward brand or product,134,im on the list for the google leh event but im not going to be at sxsw id be more upset if i didnt already have a cr48
@mention I'm ready for both:) Not sure the interoperability problem between iPhone &amp; Android has been solved:) #SXSW,,No emotion toward brand or product,120,im ready for both not sure the interoperability problem between iphone amp android has been solved sxsw
Dang it. I've touched an iPad 2. I WANT!  *sigh* #SXSW,iPad,Positive emotion,54,dang it ive touched an ipad 2 i want sigh sxsw
"#iPad menia at #SXSW . Check the live feed of photos at  Apple Store, SXSW. {link} #PLAYSXSW",,No emotion toward brand or product,92,ipad menia at sxsw check the live feed of photos at apple store sxsw link playsxsw
A new social network? &gt; RT @mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google,,No emotion toward brand or product,129,a new social network gt rt we interrupt your regularly scheduled sxsw geek programming with big news link google
Josh Williams @mention said Farmville success was a wakeup call about games. &quot;What can we build now?&quot; iPhone was were things were going. #sxsw,iPhone,Positive emotion,152,josh williams said farmville success was a wakeup call about games quotwhat can we build nowquot iphone was were things were going sxsw
"Totalitarian thought in action: People worldwide come to Austin, TX for #SXSW and decide to spend their time in line at an Apple Store.",Apple,Negative emotion,135,totalitarian thought in action people worldwide come to austin tx for sxsw and decide to spend their time in line at an apple store
HIPSTAMATIC free SXSW Pack March 11-20. #sxsw #austin #iPhone #photo {link},,No emotion toward brand or product,75,hipstamatic free sxsw pack march 1120 sxsw austin iphone photo link
Free #music sampler from #SXSW - {link} #iTunes,,No emotion toward brand or product,47,free music sampler from sxsw link itunes
[FREE MUSIC]  Compilation - SXSW: Featured Artists  -  {link}   #iTunes  #AmplifiedLife #SXSW,,No emotion toward brand or product,93,free music compilation sxsw featured artists link itunes amplifiedlife sxsw
1 Lady Alice Apple + Siggi's Skyr = epic #sxsw snack,,No emotion toward brand or product,52,1 lady alice apple siggis skyr epic sxsw snack
the unofficial SXSW App Showcase: {link}  #mobile #iphone #SXSW,,No emotion toward brand or product,63,the unofficial sxsw app showcase link mobile iphone sxsw
great article on possible future social media #boston #apple #sxsw @mention The next Twitter? {link},,No emotion toward brand or product,100,great article on possible future social media boston apple sxsw the next twitter link
#sxsw rediculous overflow line for iPad session now at #sxswsmall interesting talk like what's being said don't miss iPad talk,iPad,Positive emotion,126,sxsw rediculous overflow line for ipad session now at sxswsmall interesting talk like whats being said dont miss ipad talk
It is ridiculous to see someone taking a photo during a session with their iPad. Cannot wait to see concert use. #SXSW #Silly,iPad,Negative emotion,125,it is ridiculous to see someone taking a photo during a session with their ipad cannot wait to see concert use sxsw silly
Any Android developers going to #sxsw?  @mention me,,No emotion toward brand or product,51,any android developers going to sxsw me
"Wooooo! Did I mention that we just released Discovr for IPHONE :)  It's out now, just in time for #sxsw. New features! {link}",iPad or iPhone App,Positive emotion,125,wooooo did i mention that we just released discovr for iphone its out now just in time for sxsw new features link
@mention id love to know how many non-iPhone users are at #SXSW really... i mean cmon :),,No emotion toward brand or product,88,id love to know how many noniphone users are at sxsw really i mean cmon
#Apple said to open temporary store at #SXSW {link} via @mention,,No emotion toward brand or product,64,apple said to open temporary store at sxsw link via
"Like I said, peeps taking pictures with iPad 2 looking ridculous! Still want one. #SXSW  {link}",iPad,Positive emotion,95,like i said peeps taking pictures with ipad 2 looking ridculous still want one sxsw link
Line outside the Apple store in Austin waiting for the new iPad #SXSW  {link},,No emotion toward brand or product,77,line outside the apple store in austin waiting for the new ipad sxsw link
"Ceder Rapids Andy, ping me, I want to interview you in the livestream #suasxsw #sxsw, Am in front row w iphone, flip and Mac in my hand :)",,No emotion toward brand or product,138,ceder rapids andy ping me i want to interview you in the livestream suasxsw sxsw am in front row w iphone flip and mac in my hand
I won't lie - I've had a chance to watch people actually using the iPad at #sxsw and it makes me want one. :-/,iPad,Positive emotion,110,i wont lie ive had a chance to watch people actually using the ipad at sxsw and it makes me want one
"#SXSW Movie stars and moody directors are all well and fine, but the guy who's really attracting a crowd is the one showing off his iPad 2.",iPad,Positive emotion,139,sxsw movie stars and moody directors are all well and fine but the guy whos really attracting a crowd is the one showing off his ipad 2
"Japan relief help from #SXSW on Twitter: @mention Also, check out the Google Maps evacuation map: {link}",,No emotion toward brand or product,104,japan relief help from sxsw on twitter also check out the google maps evacuation map link
Just a friendly reminder for #SXSW attendees: If you talk or text during a film I will slap you in the mouth &amp; steal your iPad. That is all.,,No emotion toward brand or product,144,just a friendly reminder for sxsw attendees if you talk or text during a film i will slap you in the mouth amp steal your ipad that is all
"Google tries to give doodles a whimsical, fun spirit. #sxsw #GoogleDoodles",Google,Positive emotion,74,google tries to give doodles a whimsical fun spirit sxsw googledoodles
"Can't believe I got in AND got a seat! &quot;Google &amp; Bing On Website Ranking at SXSW.&quot; #SXSW #qagb (@mention Hilton, Salon J) {link}",,No emotion toward brand or product,142,cant believe i got in and got a seat quotgoogle amp bing on website ranking at sxswquot sxsw qagb hilton salon j link
"Panel believes daily deals will ultimately go self-serve, w/caveats. Kelt likened to Google Adwords. Interesting. #dailydeals #sxsw #fh",,No emotion toward brand or product,135,panel believes daily deals will ultimately go selfserve wcaveats kelt likened to google adwords interesting dailydeals sxsw fh
